NAME,income,population,state,county,tract,GEOID20,area_x,city,OBJECTID_1,OBJECTID,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,CBSA10,METRO_NAME,HRS2020,RHRS20,Shape_Leng,Shape_Area,EQINTER20,area_y
"Census Tract 644, Kings County, New York",677.0,2980.0, New York,047,064400,36047064400,Census Tract 644, Kings County,9924,12001,199330.0,0.0,40.6137965,-73.9424791,35620.0,"New York-Newark-Jersey City, N",2.0,2.0,0.01977334161,2.121155e-05,2,199330
"Census Tract 646, Kings County, New York",591.0,1996.0, New York,047,064600,36047064600,Census Tract 646, Kings County,7752,9573,165636.0,0.0,40.6159147,-73.9395351,35620.0,"New York-Newark-Jersey City, N",2.0,2.0,0.0180216472,1.762642e-05,2,165634
"Census Tract 648, Kings County, New York",546.0,2349.0, New York,047,064800,36047064800,Census Tract 648, Kings County,9688,11749,151522.0,0.0,40.6176898,-73.9364602,35620.0,"New York-Newark-Jersey City, N",2.0,2.0,0.0166276865,1.612511e-05,2,151523
"Census Tract 650, Kings County, New York",387.0,1542.0, New York,047,065000,36047065000,Census Tract 650, Kings County,9925,12002,166228.0,0.0,40.6199785,-73.9336466,35620.0,"New York-Newark-Jersey City, N",2.0,2.0,0.01763758523,1.769085e-05,2,166230
"Census Tract 652, Kings County, New York",353.0,1076.0, New York,047,065200,36047065200,Census Tract 652, Kings County,9371,11422,174713.0,0.0,40.614762,-73.9300726,35620.0,"New York-Newark-Jersey City, N",2.23927,2.2,0.02003946424,1.85921e-05,2,174712
"Census Tract 654, Kings County, New York",457.0,1451.0, New York,047,065400,36047065400,Census Tract 654, Kings County,9610,11670,151523.0,0.0,40.6129487,-73.9318078,35620.0,"New York-Newark-Jersey City, N",2.0,2.0,0.02152703811,1.612411e-05,2,151524
"Census Tract 656, Kings County, New York",478.0,1752.0, New York,047,065600,36047065600,Census Tract 656, Kings County,9871,11943,153578.0,0.0,40.6130109,-73.9349822,35620.0,"New York-Newark-Jersey City, N",2.0,2.0,0.01669511895,1.634255e-05,2,153577
"Census Tract 658, Kings County, New York",417.0,1740.0, New York,047,065800,36047065800,Census Tract 658, Kings County,9375,11426,153365.0,0.0,40.6080828,-73.9312005,35620.0,"New York-Newark-Jersey City, N",2.0,2.0,0.01987008798,1.631871e-05,2,153364
"Census Tract 660, Kings County, New York",510.0,2067.0, New York,047,066000,36047066000,Census Tract 660, Kings County,9376,11427,152314.0,0.0,40.6090466,-73.92808,35620.0,"New York-Newark-Jersey City, N",2.006118,2.0,0.0166517645,1.620734e-05,2,152315
"Census Tract 662, Kings County, New York",445.0,1326.0, New York,047,066200,36047066200,Census Tract 662, Kings County,9377,11428,231462.0,0.0,40.6093052,-73.924372,35620.0,"New York-Newark-Jersey City, N",2.831103,2.8,0.02618864606,2.462932e-05,3,231463
