ct2010,count,NAME,income,population,state,county,tract,GEOID20,area_x,city,OBJECTID_1,OBJECTID,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,CBSA10,METRO_NAME,HRS2020,RHRS20,Shape_Leng,Shape_Area,EQINTER20,area_y,area_code
9.0,668,"Census Tract 9, Richmond County, New York",386.0,1875.0, New York,85,900,36085000900,Census Tract 9, Richmond County,8598,10552,231877.0,0.0,40.6422065,-74.0828564,35620.0,"New York-Newark-Jersey City, N",3.049397,3.0,0.02511738986,2.468535e-05,3,231877,9.0
10.0,548,"Census Tract 10, Queens County, New York",875.0,4470.0, New York,81,1000,36081001000,Census Tract 10, Queens County,9273,11314,161256.0,0.0,40.6907493,-73.8592987,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01695523154,1.71794e-05,3,161256,10.0
10.01,7,"Census Tract 10.01, New York County, New York",335.0,1437.0, New York,61,1001,36061001001,Census Tract 10.01, New York County,8630,10589,80143.0,244297.0,40.714369,-73.9775854,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.03140406182,3.457517e-05,4,324441,10.01
10.02,8,"Census Tract 10.02, New York County, New York",1140.0,5077.0, New York,61,1002,36061001002,Census Tract 10.02, New York County,8687,10649,199684.0,245138.0,40.7167358,-73.975094,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.03215719635,4.740706e-05,4,444822,10.02
11.0,760,"Census Tract 11, Kings County, New York",279.0,1502.0, New York,47,1100,36047001100,Census Tract 11, Kings County,7543,9320,168507.0,0.0,40.6932903,-73.9877087,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01840462051,1.795272e-05,4,168508,11.0
11.0,760,"Census Tract 11, Richmond County, New York",690.0,3146.0, New York,85,1100,36085001100,Census Tract 11, Richmond County,8119,9990,325090.0,0.0,40.6387763,-74.0826654,35620.0,"New York-Newark-Jersey City, N",3.586707,3.6,0.02774556734,3.460691e-05,4,325090,11.0
12.0,619,"Census Tract 12, New York County, New York",1127.0,4258.0, New York,61,1200,36061001200,Census Tract 12, New York County,8688,10650,120597.0,0.0,40.7159065,-73.9820936,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01763440278,1.285273e-05,4,120598,12.0
12.0,619,"Census Tract 12, Queens County, New York",760.0,3615.0, New York,81,1200,36081001200,Census Tract 12, Queens County,9274,11315,227157.0,0.0,40.6942784,-73.8608412,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.0203931247,2.420154e-05,3,227158,12.0
13.0,120,"Census Tract 13, Kings County, New York",376.0,1917.0, New York,47,1300,36047001300,Census Tract 13, Kings County,7544,9321,293167.0,0.0,40.697615,-73.9883586,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.02408177129,3.123592e-05,4,293168,13.0
14.0,588,"Census Tract 14, Queens County, New York",994.0,4080.0, New York,81,1400,36081001400,Census Tract 14, Queens County,9221,11259,213714.0,0.0,40.6950787,-73.85525,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01929482526,2.276967e-05,3,213715,14.0
14.01,11,"Census Tract 14.01, New York County, New York",723.0,2999.0, New York,61,1401,36061001401,Census Tract 14.01, New York County,8689,10651,93505.0,0.0,40.7151603,-73.9873313,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01738730147,9.96523e-06,4,93506,14.01
14.02,90,"Census Tract 14.02, New York County, New York",426.0,2693.0, New York,61,1402,36061001402,Census Tract 14.02, New York County,8644,10604,113920.0,0.0,40.7175134,-73.9858814,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01407563849,1.21413e-05,4,113920,14.02
15.01,140,"Census Tract 15.01, Kings County, New York",1108.0,4875.0, New York,47,1501,36047001501,Census Tract 15.01, Kings County,8880,10863,165240.0,0.0,40.6959062,-73.9824665,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.02116153954,1.760532e-05,4,165241,15.01
15.02,133,"Census Tract 15.02, Kings County, New York",808.0,4654.0, New York,47,1502,36047001502,Census Tract 15.02, Kings County,8897,10890,142146.0,0.0,40.6923209,-73.9835851,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01699000653,1.514392e-05,4,142146,15.02
16.0,1220,"Census Tract 16, Bronx County, New York",1635.0,5917.0, New York,5,1600,36005001600,Census Tract 16, Bronx County,8785,10759,485079.0,0.0,40.8188478,-73.8580764,35620.0,"New York-Newark-Jersey City, N",3.923825,3.9,0.03043820523,5.17758e-05,4,485076,16.0
16.0,1220,"Census Tract 16, New York County, New York",1824.0,7504.0, New York,61,1600,36061001600,Census Tract 16, New York County,7954,9804,207381.0,0.0,40.7159568,-73.993266,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.02095618743,2.210189e-05,4,207384,16.0
16.0,1220,"Census Tract 16, Queens County, New York",616.0,2318.0, New York,81,1600,36081001600,Census Tract 16, Queens County,9261,11301,151499.0,0.0,40.6897177,-73.8548395,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01809189495,1.613988e-05,3,151500,16.0
17.0,425,"Census Tract 17, Richmond County, New York",278.0,1293.0, New York,85,1700,36085001700,Census Tract 17, Richmond County,8120,9991,306005.0,0.0,40.6344084,-74.0812295,35620.0,"New York-Newark-Jersey City, N",3.011288,3.0,0.02371004957,3.257299e-05,3,306003,17.0
18.0,978,"Census Tract 18, New York County, New York",1276.0,7101.0, New York,61,1800,36061001800,Census Tract 18, New York County,7955,9805,222964.0,0.0,40.7190464,-73.9908407,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.02078296653,2.376369e-05,4,222966,18.0
18.0,978,"Census Tract 18, Queens County, New York",669.0,2599.0, New York,81,1800,36081001800,Census Tract 18, Queens County,9275,11316,177489.0,0.0,40.69028,-73.8520154,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01882775356,1.890859e-05,3,177488,18.0
20.0,1098,"Census Tract 20, Kings County, New York",236.0,1503.0, New York,47,2000,36047002000,Census Tract 20, Kings County,7545,9322,154138.0,0.0,40.6480407,-74.0159276,35620.0,"New York-Newark-Jersey City, N",3.67107,3.7,0.01726317855,1.641089e-05,4,154139,20.0
20.0,1098,"Census Tract 20, New York County, New York",1108.0,4606.0, New York,61,2000,36061002000,Census Tract 20, New York County,7956,9806,126280.0,137883.0,40.7206299,-73.9750259,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.02859969742,2.815439e-05,4,264162,20.0
20.0,1098,"Census Tract 20, Queens County, New York",363.0,1577.0, New York,81,2000,36081002000,Census Tract 20, Queens County,7873,9711,146397.0,0.0,40.6913525,-73.849516,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01803759939,1.559651e-05,3,146397,20.0
20.01,498,"Census Tract 20.01, Bronx County, New York",1115.0,4837.0, New York,5,2001,36005002001,Census Tract 20.01, Bronx County,8083,9949,199398.0,0.0,40.8173941,-73.8678806,35620.0,"New York-Newark-Jersey City, N",3.567129,3.6,0.02077201629,2.128274e-05,4,199398,20.01
20.01,498,"Census Tract 20.01, Richmond County, New York",702.0,2909.0, New York,85,2001,36085002001,Census Tract 20.01, Richmond County,8623,10581,512964.0,0.0,40.6068893,-74.0709805,35620.0,"New York-Newark-Jersey City, N",3.365071,3.4,0.03573236103,5.458129e-05,4,512965,20.01
20.02,634,"Census Tract 20.02, Bronx County, New York",1075.0,4768.0, New York,5,2002,36005002002,Census Tract 20.02, Bronx County,8084,9950,204892.0,0.0,40.817637,-73.8644248,35620.0,"New York-Newark-Jersey City, N",3.119734,3.1,0.02195686076,2.186943e-05,3,204894,20.02
20.02,634,"Census Tract 20.02, Richmond County, New York",787.0,3182.0, New York,85,2002,36085002002,Census Tract 20.02, Richmond County,8121,9992,771749.0,0.0,40.6014736,-74.070295,35620.0,"New York-Newark-Jersey City, N",2.820381,2.8,0.04168541712,8.211015e-05,3,771749,20.02
21.0,1478,"Census Tract 21, Richmond County, New York",1128.0,4849.0, New York,85,2100,36085002100,Census Tract 21, Richmond County,8122,9993,864360.0,2017877.0,40.6318596,-74.0752255,35620.0,"New York-Newark-Jersey City, N",3.999794,4.0,0.08961862991,0.00030678992,4,2882235,21.0
22.0,719,"Census Tract 22, Kings County, New York",1035.0,4284.0, New York,47,2200,36047002200,Census Tract 22, Kings County,7546,9324,340046.0,0.0,40.6434585,-74.0216933,35620.0,"New York-Newark-Jersey City, N",3.729166,3.7,0.03257703364,3.620163e-05,4,340046,22.0
22.0,719,"Census Tract 22, Queens County, New York",567.0,2226.0, New York,81,2200,36081002200,Census Tract 22, Queens County,9276,11317,147490.0,0.0,40.6959777,-73.8505707,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01571854026,1.5714e-05,3,147489,22.0
22.01,104,"Census Tract 22.01, New York County, New York",1094.0,6372.0, New York,61,2201,36061002201,Census Tract 22.01, New York County,7957,9807,161668.0,0.0,40.7191156,-73.9818443,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01854414711,1.72304e-05,4,161667,22.01
22.02,97,"Census Tract 22.02, New York County, New York",242.0,2123.0, New York,61,2202,36061002202,Census Tract 22.02, New York County,7958,9808,56108.0,0.0,40.7212597,-73.981141,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01281689598,5.98016e-06,4,56108,22.02
23.0,22,"Census Tract 23, Bronx County, New York",1125.0,4517.0, New York,5,2300,36005002300,Census Tract 23, Bronx County,8819,10800,104645.0,0.0,40.8090823,-73.9258441,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01544281504,1.116796e-05,4,104645,23.0
23.0,22,"Census Tract 23, Kings County, New York",1153.0,4133.0, New York,47,2300,36047002300,Census Tract 23, Kings County,9615,11675,182214.0,0.0,40.6995617,-73.9832799,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.02027390769,1.941454e-05,4,182212,23.0
24.0,346,"Census Tract 24, Queens County, New York",566.0,2295.0, New York,81,2400,36081002400,Census Tract 24, Queens County,9277,11318,141901.0,0.0,40.6971881,-73.8465756,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01710866416,1.511876e-05,3,141900,24.0
25.0,181,"Census Tract 25, Bronx County, New York",1339.0,5694.0, New York,5,2500,36005002500,Census Tract 25, Bronx County,8821,10802,127492.0,0.0,40.8070025,-73.9208749,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01648254396,1.360577e-05,4,127492,25.0
25.0,181,"Census Tract 25, New York County, New York",1275.0,5483.0, New York,61,2500,36061002500,Census Tract 25, New York County,8665,10626,131517.0,94115.0,40.7089899,-73.9962356,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.02353017172,2.404448e-05,4,225634,25.0
26.0,352,"Census Tract 26, Queens County, New York",552.0,2133.0, New York,81,2600,36081002600,Census Tract 26, Queens County,9278,11319,148030.0,0.0,40.6972603,-73.8430922,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.01950733001,1.57721e-05,3,148032,26.0
26.01,145,"Census Tract 26.01, New York County, New York",656.0,3977.0, New York,61,2601,36061002601,Census Tract 26.01, New York County,7959,9810,106047.0,0.0,40.722585,-73.9799302,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01480083306,1.130296e-05,4,106046,26.01
26.02,200,"Census Tract 26.02, New York County, New York",579.0,3633.0, New York,61,2602,36061002602,Census Tract 26.02, New York County,7960,9811,103691.0,0.0,40.7243901,-73.978616,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.0147035911,1.105226e-05,4,103691,26.02
